,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
0,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,6951.59,4091.59,10.5
1,2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,6826.72,3966.72,10.5
2,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,7749.39,4889.39,10.399999999999977
3,4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,5927.5,3067.5,10.400000000000034
4,5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,5897.82,3037.82,10.5
5,6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,6252.55,3392.55,10.5
6,7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,6917.7,4057.7,10.5
7,8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,6428.26,3568.26,10.5
8,9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,4992.64,2132.64,10.399999999999977
9,10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,5104.88,2244.88,10.5
10,11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,4459.99,1599.99,10.5
11,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,6601.42,3741.42,10.5
12,13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,7165.23,4305.23,10.5
13,14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,5472.65,2612.65,10.599999999999966
14,15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,4176.85,1316.85,10.599999999999966
15,16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,7815.53,4955.53,10.599999999999966
16,17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,6397.6,3537.6,10.599999999999966
17,18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,6733.06,3873.06,10.5
18,19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,7453.64,4593.64,10.399999999999977
19,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,5554.34,2694.34,10.400000000000034
20,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,6148.36,3288.36,10.400000000000034
21,22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,6802.6,3942.6,10.5
22,23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,5082.75,2222.75,10.400000000000034
23,24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,4731.3,1871.3,10.399999999999977
24,25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,6097.34,3237.34,10.399999999999977
25,26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,4540.78,1680.78,10.5
