     ,Unnamed: 0 ,UDI   ,Product ID ,Type ,Air temperature [K] ,Process temperature [K] ,Rotational speed [rpm] ,Torque [Nm] ,Tool wear [min] ,Target ,Failure Type             ,Noise Power ,Noise    ,Difference Temperature ,Rotation per torque ,Torque per Rotation ,Tool wear per Rotation ,Tool wear per torque ,Tool wear per power
   0 ,         0 ,    1 ,M14860     ,M    ,              298.1 ,                  308.6 ,                  1551 ,       42.8 ,              0 ,     0 ,No Failure               ,    6951.59 ,4091.59  ,    5.25               , 36.23831775700935  , 0.0275950999355254 ,    0.0                ,  0.0                , 0.0
   1 ,         1 ,    2 ,L47181     ,L    ,              298.2 ,                  308.7 ,                  1408 ,       46.3 ,              3 ,     0 ,No Failure               ,    6826.72 ,3966.72  ,    5.25               , 30.41036717062635  , 0.0328835227272727 ,    0.0021306818181818 ,  0.0647948164146868 , 0.0004394496917992
   2 ,         2 ,    3 ,L47182     ,L    ,              298.1 ,                  308.5 ,                  1498 ,       49.4 ,              5 ,     0 ,No Failure               ,    7749.39 ,4889.39  ,    5.199999999999989  , 30.323886639676115 , 0.032977303070761  ,    0.0033377837116154 ,  0.1012145748987854 , 0.0006452120747568
   3 ,         3 ,    4 ,L47183     ,L    ,              298.2 ,                  308.6 ,                  1433 ,       39.5 ,              7 ,     0 ,No Failure               ,    5927.5  ,3067.5   ,    5.200000000000017  , 36.27848101265823  , 0.0275645498953244 ,    0.0048848569434752 ,  0.1772151898734177 , 0.0011809363137916
   4 ,         4 ,    5 ,L47184     ,L    ,              298.2 ,                  308.7 ,                  1408 ,       40.0 ,              9 ,     0 ,No Failure               ,    5897.82 ,3037.82  ,    5.25               , 35.2               , 0.0284090909090909 ,    0.0063920454545454 ,  0.225              , 0.0015259875682879
   5 ,         5 ,    6 ,M14865     ,M    ,              298.1 ,                  308.6 ,                  1425 ,       41.9 ,             11 ,     0 ,No Failure               ,    6252.55 ,3392.55  ,    5.25               , 34.00954653937948  , 0.0294035087719298 ,    0.007719298245614  ,  0.2625298329355608 , 0.0017592822128571
   6 ,         6 ,    7 ,L47186     ,L    ,              298.1 ,                  308.6 ,                  1558 ,       42.4 ,             14 ,     0 ,No Failure               ,    6917.7  ,4057.7   ,    5.25               , 36.74528301886792  , 0.0272143774069319 ,    0.0089858793324775 ,  0.330188679245283  , 0.0020237940355898
   7 ,         7 ,    8 ,L47187     ,L    ,              298.1 ,                  308.6 ,                  1527 ,       40.2 ,             16 ,     0 ,No Failure               ,    6428.26 ,3568.26  ,    5.25               , 37.98507462686567  , 0.0263261296660117 ,    0.0104780615586116 ,  0.3980099502487562 , 0.0024890094675697
   8 ,         8 ,    9 ,M14868     ,M    ,              298.3 ,                  308.7 ,                  1667 ,       28.6 ,             18 ,     0 ,No Failure               ,    4992.64 ,2132.64  ,    5.199999999999989  , 58.28671328671329  , 0.0171565686862627 ,    0.0107978404319136 ,  0.6293706293706294 , 0.0036053070119215
   9 ,         9 ,   10 ,M14869     ,M    ,              298.5 ,                  309.0 ,                  1741 ,       28.0 ,             21 ,     0 ,No Failure               ,    5104.88 ,2244.88  ,    5.25               , 62.17857142857143  , 0.016082711085583  ,    0.0120620333141872 ,  0.75               , 0.0041137108022127
  10 ,        10 ,   11 ,H29424     ,H    ,              298.4 ,                  308.9 ,                  1782 ,       23.9 ,             24 ,     0 ,No Failure               ,    4459.99 ,1599.99  ,    5.25               , 74.56066945606695  , 0.01341189674523   ,    0.0134680134680134 ,  1.00418410041841   , 0.005381177984704
  11 ,        11 ,   12 ,H29425     ,H    ,              298.6 ,                  309.1 ,                  1423 ,       44.3 ,             29 ,     0 ,No Failure               ,    6601.42 ,3741.42  ,    5.25               , 32.121896162528216 , 0.0311314125087842 ,    0.0203794799718903 ,  0.654627539503386  , 0.0043929942345737
  12 ,        12 ,   13 ,M14872     ,M    ,              298.6 ,                  309.1 ,                  1339 ,       51.1 ,             34 ,     0 ,No Failure               ,    7165.23 ,4305.23  ,    5.25               , 26.20352250489237  , 0.0381628080657206 ,    0.0253920836445108 ,  0.6653620352250489 , 0.0047451372810084
  13 ,        13 ,   14 ,M14873     ,M    ,              298.6 ,                  309.2 ,                  1742 ,       30.0 ,             37 ,     0 ,No Failure               ,    5472.65 ,2612.65  ,    5.299999999999983  , 58.06666666666667  , 0.0172215843857634 ,    0.0212399540757749 ,  1.2333333333333334 , 0.0067608928033037
  14 ,        14 ,   15 ,L47194     ,L    ,              298.6 ,                  309.2 ,                  2035 ,       19.6 ,             40 ,     0 ,No Failure               ,    4176.85 ,1316.85  ,    5.299999999999983  ,103.8265306122449   , 0.0096314496314496 ,    0.0196560196560196 ,  2.0408163265306123 , 0.0095765948023031
  15 ,        15 ,   16 ,L47195     ,L    ,              298.6 ,                  309.2 ,                  1542 ,       48.4 ,             42 ,     0 ,No Failure               ,    7815.53 ,4955.53  ,    5.299999999999983  , 31.859504132231407 , 0.0313878080415045 ,    0.0272373540856031 ,  0.8677685950413223 , 0.0053739157805036
  16 ,        16 ,   17 ,M14876     ,M    ,              298.6 ,                  309.2 ,                  1311 ,       46.6 ,             44 ,     0 ,No Failure               ,    6397.6  ,3537.6   ,    5.299999999999983  , 28.13304721030043  , 0.0355453852021357 ,    0.0335621662852784 ,  0.944206008583691  , 0.0068775790921595
  17 ,        17 ,   18 ,M14877     ,M    ,              298.7 ,                  309.2 ,                  1410 ,       45.6 ,             47 ,     0 ,No Failure               ,    6733.06 ,3873.06  ,    5.25               , 30.921052631578945 , 0.0323404255319148 ,    0.0333333333333333 ,  1.030701754385965  , 0.006980481385878
  18 ,        18 ,   19 ,H29432     ,H    ,              298.8 ,                  309.2 ,                  1306 ,       54.5 ,             50 ,     0 ,No Failure               ,    7453.64 ,4593.64  ,    5.199999999999989  , 23.96330275229358  , 0.0417304747320061 ,    0.0382848392036753 ,  0.9174311926605504 , 0.0067081318657729
