,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature,Rotation per torque,Torque per Rotation,Tool wear per Rotation,Tool wear per torque,Tool wear per power
0,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,6951.59,4091.59,5.25,36.23831775700935,0.027595099935525464,0.0,0.0,0.0
1,2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,6826.72,3966.72,5.25,30.41036717062635,0.032883522727272727,0.002130681818181818,0.06479481641468683,0.0004394496917992828
2,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,7749.39,4889.39,5.199999999999989,30.323886639676115,0.032977303070761015,0.0033377837116154874,0.10121457489878542,0.0006452120747568518
3,4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,5927.5,3067.5,5.200000000000017,36.278481012658226,0.027564549895324496,0.004884856943475227,0.17721518987341772,0.0011809363137916492
4,5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,5897.82,3037.82,5.25,35.2,0.028409090909090908,0.006392045454545455,0.225,0.0015259875682879437
5,6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,6252.55,3392.55,5.25,34.00954653937948,0.029403508771929824,0.0077192982456140355,0.26252983293556087,0.0017592822128571542
6,7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,6917.7,4057.7,5.25,36.74528301886792,0.027214377406931962,0.008985879332477536,0.33018867924528306,0.0020237940355898637
7,8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,6428.26,3568.26,5.25,37.98507462686567,0.02632612966601179,0.010478061558611657,0.3980099502487562,0.0024890094675697623
8,9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,4992.64,2132.64,5.199999999999989,58.28671328671329,0.01715656868626275,0.010797840431913617,0.6293706293706294,0.0036053070119215483
9,10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,5104.88,2244.88,5.25,62.17857142857143,0.016082711085583,0.012062033314187249,0.75,0.0041137108022127845
10,11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,4459.99,1599.99,5.25,74.56066945606695,0.013411896745230079,0.013468013468013467,1.00418410041841,0.0053811779847040015
11,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,6601.42,3741.42,5.25,32.121896162528216,0.031131412508784255,0.020379479971890373,0.654627539503386,0.0043929942345737735
12,13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,7165.23,4305.23,5.25,26.203522504892366,0.038162808065720685,0.02539208364451083,0.6653620352250489,0.004745137281008426
13,14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,5472.65,2612.65,5.299999999999983,58.06666666666667,0.01722158438576349,0.02123995407577497,1.2333333333333334,0.0067608928033037015
14,15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,4176.85,1316.85,5.299999999999983,103.8265306122449,0.009631449631449632,0.019656019656019656,2.0408163265306123,0.00957659480230317
15,16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,7815.53,4955.53,5.299999999999983,31.859504132231407,0.03138780804150454,0.027237354085603113,0.8677685950413223,0.005373915780503689
16,17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,6397.6,3537.6,5.299999999999983,28.13304721030043,0.03554538520213577,0.033562166285278416,0.944206008583691,0.0068775790921595595
17,18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,6733.06,3873.06,5.25,30.921052631578945,0.03234042553191489,0.03333333333333333,1.030701754385965,0.00698048138587804
18,19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,7453.64,4593.64,5.199999999999989,23.96330275229358,0.041730474732006126,0.03828483920367534,0.9174311926605505,0.006708131865772965
19,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,5554.34,2694.34,5.200000000000017,50.215384615384615,0.01991421568627451,0.03370098039215686,1.6923076923076923,0.009902166594050778
20,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,6148.36,3288.36,5.200000000000017,32.20140515222482,0.031054545454545456,0.04218181818181818,1.3583138173302107,0.0094334098849124
